"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNAME";"SPICEPREFIX";
"2";"";"DIODE-SMB";"SMB";"D3, D4";"DIODE";"";"";"";"";"";"";
"1";"";"MA03-1";"MA03-1";"SV1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"2";"";"MA04-1";"MA04-1";"50V1, FILLAMENT1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"MA06-1";"MA06-1";"POWER1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"XL6009";"TO263-5";"IC5";"STEP-DOWN VOLTAGE REGULATOR";"";"";"";"";"";"";
"3";"100n";"C-EUC1206";"C1206";"C20, C22, C24";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"1";"10m";"MS85";"MS85";"L5";"INDUCTOR";"";"";"unknown";"unknown";"";"";
"1";"10m";"SM-NE45";"SM-NE45";"L4";"INDUCTOR";"";"";"unknown";"unknown";"";"";
"2";"10u";"CPOL-EU153CLV-0807";"153CLV-0807";"C21, C23";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";
"1";"1k";"R-EU_R1206";"R1206";"R10";"RESISTOR, European symbol";"";"";"";"";"";"R";
"10";"1n";"C-EUC1206";"C1206";"C1, C2, C3, C4, C5, C6, C7, C8, C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"2";"1u";"CPOL-EU153CLV-0505";"153CLV-0505";"C25, C26";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"C";
"2";"2.7k";"R-EU_R1206";"R1206";"R8, R11";"RESISTOR, European symbol";"";"";"";"";"";"R";
"1";"22";"R-EU_0411/15";"0411/15";"R12";"RESISTOR, European symbol";"";"";"";"";"";"R";
"1";"33u";"DR125";"DR125";"L6";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";"";"L";
"1";"39";"R-EU_R1206";"R1206";"R9";"RESISTOR, European symbol";"";"";"";"";"";"R";
"4";"4.7k";"G04R";"SIL5";"RN1, RN2, RN3, RN4";"SIL RESISTOR";"";"";"unknown";"unknown";"";"";
"2";"4.7k";"R-EU_R1206";"R1206";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"R";
"1";"4.7n";"C-EUC1206";"C1206";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"1";"74HC132D";"74HC132D";"SO14";"IC6";"Quad 2-input NAND schmitt trigger";"";"";"";"";"";"";
"2";"EC12E_SW";"EC12E_SW";"ALPS_EC12E_SW";"SW3, SW4";"ALPS rotary Encoder EC12E series with switch";"";"EC12E2424407";"1520813";"74M1068";"";"";
"1";"MN12832JC";"MN12832JC";"MN12832JC";"U$1";"";"";"";"";"";"";"";
"1";"SWL";"MA03-1";"MA03-1";"SV3";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"SWR";"MA03-1";"MA03-1";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"TEENSY_LC_DIL";"TEENSY_LC_DIL";"TEENSY_3.0-3.2&LC_DIL";"U$3";"";"";"";"";"";"";"";
"1";"ZXBM5210";"ZXBM5210";"SO8";"IC4";"H-Bridge motor driver.";"";"";"";"";"ZXBM5210";"";
